                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                       "r26.4.1"          2.0000000000000000E+000          1.0000000000000000E+000          4.0000000000000000E+000                       "gfortran"                         "15.2.0"            "x86_64-linux-26.3.2"                       "20260609" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                              75          5.7702935623903966E+008          3.9993679661431210E+000          1.5292287399116001E+001          6.4483405035736297E+001          1.2896681007147259E+002          6.7286712571775462E+000          4.9055841303802490E+000         -6.7099341396906964E-001         -8.1547266203925850E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7282133081545393E+052         -7.8933328447897054E+031          0.0000000000000000E+000         -7.8933328447897054E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              80          6.2267170497695410E+008          3.9993179658420188E+000          1.5292159942215445E+001          6.4483673762909177E+001          1.2896734752581835E+002          6.7286151756011989E+000          4.9055432437206958E+000         -6.5891116264334948E-001         -8.1528514110218908E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7282019386867873E+052         -7.8935680186813333E+031          0.0000000000000000E+000         -7.8935680186813333E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              85          6.6413871092713583E+008          3.9992725386319230E+000          1.5292044142224285E+001          6.4483917915837523E+001          1.2896783583167505E+002          6.7285642231143834E+000          4.9055060964591979E+000         -6.4652324259381899E-001         -8.1511328325922439E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281916090028295E+052         -7.8937811369817557E+031          0.0000000000000000E+000         -7.8937811369817557E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              90          7.0172623608441103E+008          3.9992313606495542E+000          1.5291939173700037E+001          6.4484139234076139E+001          1.2896827846815228E+002          6.7285180365189063E+000          4.9054724238036096E+000         -6.3399763731603787E-001         -8.1495992933303540E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281822454823011E+052         -7.8939744391447625E+031          0.0000000000000000E+000         -7.8939744391447625E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              95          7.3605705901401353E+008          3.9991937498326902E+000          1.5291843298072383E+001          6.4484341382617416E+001          1.2896868276523483E+002          6.7284758508364613E+000          4.9054416680412283E+000         -6.2127974055806579E-001         -8.1482001992629072E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281736930484938E+052         -7.8941507701197413E+031          0.0000000000000000E+000         -7.8941507701197413E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             100          7.6754705740711892E+008          3.9991592507303411E+000          1.5291755354408643E+001          6.4484526808716325E+001          1.2896905361743265E+002          6.7284371552517532E+000          4.9054134567586427E+000         -6.0830356155490728E-001         -8.1469168568602413E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281658481494138E+052         -7.8943124444842993E+031          0.0000000000000000E+000         -7.8943124444842993E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             105          7.9637460819872153E+008          3.9991276680520249E+000          1.5291674844948922E+001          6.4484696561461959E+001          1.2896939312292392E+002          6.7284017307483150E+000          4.9053876302803889E+000         -5.9533091875908040E-001         -8.1457415518959109E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281586663889663E+052         -7.8944604447983439E+031          0.0000000000000000E+000         -7.8944604447983439E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             110          8.2325566753768957E+008          3.9990982175184273E+000          1.5291599770487036E+001          6.4484854855820430E+001          1.2896970971164086E+002          6.7283686976669550E+000          4.9053635472848756E+000         -5.8229131013535940E-001         -8.1446448955936612E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281519694346662E+052         -7.8945978042626817E+031          0.0000000000000000E+000         -7.8945978042626817E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             115          8.4868213489544201E+008          3.9990703602813289E+000          1.5291528757441627E+001          6.4485004587762958E+001          1.2897000917552592E+002          6.7283374516260546E+000          4.9053407671435192E+000         -5.6929392792026279E-001         -8.1436067217678976E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281456347604818E+052         -7.8947272461199270E+031          0.0000000000000000E+000         -7.8947272461199270E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             120          8.7402942093793178E+008          3.9990425894732260E+000          1.5291457964554956E+001          6.4485153856536044E+001          1.2897030771307209E+002          6.7283063024559304E+000          4.9053180576264701E+000         -5.5668377116256684E-001         -8.1425706989950264E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281393197107791E+052         -7.8948543285823049E+031          0.0000000000000000E+000         -7.8948543285823049E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             125          8.9997381484753287E+008          3.9990141641347590E+000          1.5291385502980548E+001          6.4485306644857218E+001          1.2897061328971444E+002          6.7282744190561337E+000          4.9052948128142200E+000         -5.4914974121045335E-001         -8.1415092091848995E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281328557913489E+052         -7.8949894360593135E+031          0.0000000000000000E+000         -7.8949894360593135E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             130          9.1309929235202157E+008          3.9989997833880913E+000          1.5291348843666713E+001          6.4485383942998197E+001          1.2897076788599639E+002          6.7282582888027003E+000          4.9052830529418427E+000         -5.5783318479280453E-001         -8.1409715757185286E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281295855991721E+052         -7.8950691442992628E+031          0.0000000000000000E+000         -7.8950691442992628E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             135          9.1777582123169458E+008          3.9989946595905748E+000          1.5291335782101953E+001          6.4485411484079307E+001          1.2897082296815861E+002          6.7282525416588577E+000          4.9052788629470347E+000         -5.7328522480352562E-001         -8.1407799206192899E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281284204420227E+052         -7.8950984435934771E+031          0.0000000000000000E+000         -7.8950984435934771E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             140          9.1938086617847955E+008          3.9989929010343674E+000          1.5291331299196003E+001          6.4485420936559535E+001          1.2897084187311907E+002          6.7282505691612444E+000          4.9052774248840612E+000         -5.8533897210944119E-001         -8.1407141297107677E-001          2.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          1.0000000000000000E+000          2.7281280205441917E+052         -7.8951083425331030E+031          0.0000000000000000E+000         -7.8951083425331030E+031          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
