                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                       "r26.4.1"          2.0000000000000000E+000          1.0000000000000000E+000          4.0000000000000000E+000                       "gfortran"                         "15.2.0"            "x86_64-linux-26.3.2"                       "20260610" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                            1930          9.9086766295761430E+008          4.5218972402429038E+000          1.5532053310544745E+001          1.0892049943493137E+002          6.4858108087539037E+001          5.2038738615127267E+000          6.5928114071028663E+000          2.8878651428847107E-001         -7.8685875562393404E-001          9.1769809654633117E-001          1.5411509517268278E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1476635242625520E+052         -8.2381138830218763E+039         -9.5408603118737047E+034         -3.3946115635794236E+031         -8.2380184404726423E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1935          9.9086769743854249E+008          4.5490586462915950E+000          1.5590542647057978E+001          1.0887578906190636E+002          6.4515719469465878E+001          5.2171972970855514E+000          6.6243968256486765E+000          2.8479032131821075E-001         -7.8770472848641104E-001          9.1425000373124221E-001          1.5428749981343721E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1467695747834643E+052         -8.2003113920865494E+039         -9.4076826612629128E+034         -3.3314309486608230E+031         -8.2002172819456277E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1940          9.9086773174723828E+008          4.5764786186754858E+000          1.5649485488877410E+001          1.0882937928583412E+002          6.4174864026608972E+001          5.2306436457347241E+000          6.6562106511559707E+000          2.8077704483476917E-001         -7.8855090602069300E-001          9.1081913413976123E-001          1.5445904329301132E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1458841656427344E+052         -8.1627829637336339E+039         -9.2762991495385914E+034         -3.2692461227254331E+031         -8.1626901680496767E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1945          9.9086776588456213E+008          4.6041584422960300E+000          1.5708882023011723E+001          1.0878128961869739E+002          6.3835544344578835E+001          5.2442125681894449E+000          6.6882534112476826E+000          2.7674192718937091E-001         -7.8939715435996938E-001          9.0740540174188900E-001          1.5462972991290489E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1450072044769467E+052         -8.1255258929569221E+039         -9.1466892979552358E+034         -3.2080480145770421E+031         -8.1254343939834628E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1950          9.9086779985137010E+008          4.6320994126793504E+000          1.5768732448205311E+001          1.0873153947333778E+002          6.3497762793827967E+001          5.2579037315780797E+000          6.7205256363403301E+000          2.7268660494922697E-001         -7.9024343738671488E-001          9.0400872093734042E-001          1.5479956395313235E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1441386000665234E+052         -8.0885375110981529E+039         -9.0188327389552349E+034         -3.1478273849919218E+031         -8.0884472912924896E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1955          9.9086783364851379E+008          4.6603028358232166E+000          1.5829036974536455E+001          1.0868014816261551E+002          6.3161521533715650E+001          5.2717168092583018E+000          6.7530278595033373E+000          2.6861710706329239E-001         -7.9108976947679444E-001          9.0062900655341749E-001          1.5496854967232849E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1432782623191657E+052         -8.0518151852350057E+039         -8.8927092198117218E+034         -3.0885748387459660E+031         -8.0517262272570595E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1960          9.9086786727684093E+008          4.6887700280454983E+000          1.5889795823022197E+001          1.0862713489860116E+002          6.2826822516512458E+001          5.2856514806506762E+000          6.7857606163200463E+000          2.6452998134425831E-001         -7.9193591299477462E-001          8.9726617384283602E-001          1.5513669130785754E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1424261022535629E+052         -8.0153563175803909E+039         -8.7682986060911434E+034         -3.0302808362830648E+031         -8.0152686042915216E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1965          9.9086790073719442E+008          4.7175023158328431E+000          1.5951009225227285E+001          1.0857251879180053E+002          6.2493667491359879E+001          5.2997074310750456E+000          6.8187244447490167E+000          2.6044004594859260E-001         -7.9278191740362458E-001          8.9392013848165119E-001          1.5530399307591678E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1415820319834011E+052         -7.9791583448947346E+039         -8.6455808849441948E+034         -2.9729357050304226E+031         -7.9790718593565276E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1970          9.9086793403041363E+008          4.7465010356910948E+000          1.6012677422880351E+001          1.0851631885040928E+002          6.2162058008166341E+001          5.3138843515903913E+000          6.8519198849873915E+000          2.5632530331822723E-001         -7.9362766952298758E-001          8.9059081656708816E-001          1.5547045917164490E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1407459647016185E+052         -7.9432187379083907E+039         -8.5245361682255622E+034         -2.9165296503632620E+031         -7.9431334633814125E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                            1975          9.9086796715733325E+008          4.7757675339956691E+000          1.6074800667493630E+001          1.0845855397960000E+002          6.1831995421460753E+001          5.3281819388372824E+000          6.8853474793343290E+000          2.5218745194895770E-001         -7.9447310808508764E-001          8.8727812461549060E-001          1.5563609376922478E+000         -4.0000000000000000E+000         -4.0000000000000000E+000         -4.3010299956639804E+000         -9.8999999999999986E+001         -4.3010299956639804E+000         -9.8999999999999986E+001         -9.8999999999999986E+001          5.0000000000000000E-001          5.0000000000000000E-001          2.1399178146649547E+052         -7.9075350007569995E+039         -8.4051446954503786E+034         -2.8610527662246623E+031         -7.9074509206995168E+039          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
