#options: 2126x1196 fps=16/1 timebase=1/16 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=37 lookahead_threads=9 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=16 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=810 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:50 out:50 type:B dur:2 cpbdur:2 q:54.08 aq:50.35 tex:6392 mv:3502 misc:2266 imb:37 pmb:447 smb:9491 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:54.31 aq:50.99 tex:6139 mv:2879 misc:1902 imb:12 pmb:394 smb:9569 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:53.85 aq:50.12 tex:4760 mv:1784 misc:1608 imb:13 pmb:262 smb:9700 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:52.62 aq:46.84 tex:16413 mv:6101 misc:3358 imb:242 pmb:598 smb:9135 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:53.12 aq:50.86 tex:6324 mv:2751 misc:1997 imb:20 pmb:372 smb:9583 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:53.36 aq:50.70 tex:5803 mv:2033 misc:1740 imb:11 pmb:301 smb:9663 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:52.87 aq:50.99 tex:4651 mv:1684 misc:1529 imb:9 pmb:250 smb:9716 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:51.52 aq:46.93 tex:19958 mv:6346 misc:3488 imb:214 pmb:701 smb:9060 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:52.07 aq:49.83 tex:6622 mv:2650 misc:1952 imb:44 pmb:320 smb:9611 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:52.34 aq:50.99 tex:4771 mv:1751 misc:1566 imb:12 pmb:246 smb:9717 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:51.79 aq:50.98 tex:4123 mv:1437 misc:1408 imb:12 pmb:217 smb:9746 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:50.90 aq:45.31 tex:18558 mv:5751 misc:3363 imb:231 pmb:607 smb:9137 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:51.21 aq:49.99 tex:6402 mv:2213 misc:1745 imb:24 pmb:307 smb:9644 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:51.36 aq:50.66 tex:4061 mv:1501 misc:1462 imb:8 pmb:230 smb:9737 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:51.05 aq:50.88 tex:4512 mv:1598 misc:1410 imb:15 pmb:219 smb:9741 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:50.30 aq:45.15 tex:18184 mv:4890 misc:3102 imb:183 pmb:573 smb:9219 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:50.60 aq:48.46 tex:6470 mv:2248 misc:1714 imb:35 pmb:293 smb:9647 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:50.75 aq:50.72 tex:3770 mv:1450 misc:1428 imb:10 pmb:227 smb:9738 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:50.45 aq:50.19 tex:3993 mv:1516 misc:1395 imb:16 pmb:214 smb:9745 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:49.71 aq:44.46 tex:19089 mv:5690 misc:3445 imb:199 pmb:678 smb:9098 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:50.00 aq:47.80 tex:4717 mv:2057 misc:1666 imb:24 pmb:273 smb:9678 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:50.15 aq:46.88 tex:4103 mv:1438 misc:1419 imb:11 pmb:224 smb:9740 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:49.85 aq:50.56 tex:4261 mv:1283 misc:1296 imb:19 pmb:180 smb:9776 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:49.28 aq:44.68 tex:16609 mv:4711 misc:2880 imb:165 pmb:533 smb:9277 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:49.49 aq:47.83 tex:4478 mv:1860 misc:1526 imb:20 pmb:255 smb:9700 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:49.60 aq:50.73 tex:3797 mv:1260 misc:1263 imb:10 pmb:185 smb:9780 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:49.39 aq:50.57 tex:3048 mv:1158 misc:1266 imb:10 pmb:184 smb:9781 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:48.63 aq:43.77 tex:27476 mv:5951 misc:3589 imb:245 pmb:726 smb:9004 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:48.95 aq:49.49 tex:5397 mv:2148 misc:1655 imb:37 pmb:279 smb:9659 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:49.12 aq:49.51 tex:4398 mv:1727 misc:1539 imb:16 pmb:241 smb:9718 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:48.79 aq:50.27 tex:4301 mv:1292 misc:1359 imb:12 pmb:208 smb:9755 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:48.25 aq:43.89 tex:27362 mv:6321 misc:3685 imb:251 pmb:721 smb:9003 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:48.44 aq:45.25 tex:6145 mv:2656 misc:1871 imb:37 pmb:358 smb:9580 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:48.53 aq:50.67 tex:4473 mv:1516 misc:1387 imb:19 pmb:216 smb:9740 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:48.34 aq:47.49 tex:4964 mv:2327 misc:1661 imb:28 pmb:286 smb:9661 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:47.83 aq:43.03 tex:52805 mv:11419 misc:4304 imb:810 pmb:963 smb:8202 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:48.04 aq:47.48 tex:10842 mv:5466 misc:2924 imb:130 pmb:667 smb:9178 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:48.14 aq:49.31 tex:7718 mv:3642 misc:2296 imb:63 pmb:536 smb:9376 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:47.93 aq:49.98 tex:8030 mv:3570 misc:2048 imb:70 pmb:440 smb:9465 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:47.51 aq:44.54 tex:36560 mv:9662 misc:3938 imb:514 pmb:872 smb:8589 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:47.67 aq:48.64 tex:9742 mv:5279 misc:2579 imb:102 pmb:559 smb:9314 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:47.75 aq:49.21 tex:7058 mv:3526 misc:2024 imb:68 pmb:405 smb:9502 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:47.59 aq:49.02 tex:7902 mv:3868 misc:2102 imb:80 pmb:432 smb:9463 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:47.10 aq:41.01 tex:36244 mv:9795 misc:3985 imb:466 pmb:909 smb:8600 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:47.30 aq:47.80 tex:11255 mv:5342 misc:2627 imb:106 pmb:581 smb:9288 d:- ref:0 ;
